Provider Id,Latitude,Longitude
50040,34.3259095,-118.4459572
50042,40.1485519,-122.2190196
50043,37.8215453,-122.2630661
50045,32.7803961,-115.5683905
50046,34.4428287,-119.2643526
50047,37.7907806,-122.4311512
50054,33.9317494,-116.9459031
50055,37.7476597,-122.4207005
50056,34.6897027,-118.1071102
50057,36.3282957,-119.2949631
50058,34.1281181,-118.2569119
50060,36.7428148,-119.7840085
50063,34.0962209,-118.2905784
50067,37.757078,-120.86109
50069,33.7819985,-117.8652002
50070,35.4259589,-120.604208
50071,37.3358952,-121.99833
50072,37.8915785,-122.0588864
50073,38.12767,-122.2484432
50075,37.8247334,-122.2573341
50076,37.7823277,-122.4432896
50077,32.7514518,-117.1600534
50078,33.7383615,-118.3050431
50079,37.9532365,-122.3363246
50082,34.2166424,-119.1556484
50084,37.9706584,-121.288784
50089,34.1314087,-117.3217772
50090,38.2881092,-122.4651441
50091,33.9896228,-118.2241554
50093,36.8352022,-119.7655278
50096,34.071352,-117.944755
50099,34.1015661,-117.6378263
50100,32.7994945,-117.1542381
50101,38.131184,-122.237323
50102,33.9269682,-117.4398166
50103,34.0492579,-118.2172453
50104,33.9296289,-118.203332
50107,34.9512414,-120.4133339
50108,38.571738,-121.4693738
50110,34.6408156,-120.4395053
50111,34.0755916,-118.2839437
50112,34.0271164,-118.4866344
50113,37.5312682,-122.2992982
50115,33.1251852,-117.0752748
50116,34.2200955,-118.5331136
50118,37.80155,-121.197502
50121,36.3237872,-119.6664466
50122,37.9615265,-121.3019237
50124,34.2045351,-118.216049
50125,37.3623125,-121.8493151
50126,34.1950316,-118.4632934
50127,38.664038,-121.79212
50128,33.1851545,-117.2902595
50129,34.1348371,-117.2769883
50131,38.0993115,-122.5603633
50132,34.1007416,-118.1058755
50133,39.1381926,-121.5940156
50135,34.0964452,-118.3251439
50136,38.25459,-122.6316537
50137,34.2187902,-118.4300562
50138,34.098423,-118.2944131
50139,33.9192416,-118.1288114
50140,34.072245,-117.431968
50145,36.5790057,-121.913238
50149,34.0373956,-118.2657814
50150,39.2281029,-121.0468913
50152,37.7896472,-122.4166422
50153,37.3277552,-121.9383789
50158,34.15745,-118.4868009
50159,34.2766626,-119.252029
50167,37.8867135,-121.2826314
50168,33.8941778,-117.9276156
50169,33.9697943,-118.049255
50174,38.4437611,-122.701141
50179,37.511639,-120.837996
50180,37.9130871,-122.0408542
50189,36.2060766,-121.1328356
50191,33.7799359,-118.1858757
50192,36.6080787,-119.4517641
50194,36.9271746,-121.7930016
50195,37.55726,-121.9797604
50197,37.4797381,-122.2547914
50204,34.5830137,-118.1451948
50205,34.1273073,-117.8650746
50211,37.7628157,-122.2534154
50222,32.6187715,-117.0229286
50224,33.6247428,-117.9300468
50225,39.7570818,-121.5701689
50226,33.8481751,-117.9345264
50228,37.7558047,-122.4044432
50230,33.7749127,-117.9129403
50231,34.0770077,-117.7514976
50232,35.2781709,-120.6511558
50234,32.6944487,-117.1686795
50235,34.1558174,-118.3281063
50236,34.2892065,-118.745137
50238,34.1355055,-118.0394267
50239,34.1465452,-118.2294319
50242,36.9901663,-121.9836669
50243,33.8385169,-116.54408
50245,34.0740156,-117.351125
50248,36.6973764,-121.6331609
50254,38.7256225,-120.7909572
50257,35.4117079,-119.0395895
50261,36.069563,-119.027485
50262,34.0664433,-118.4463136
50272,34.0365372,-117.2051741
50276,38.006764,-122.1327937
50277,33.806891,-118.1930627
50278,34.280154,-118.460335
50279,34.1326967,-116.2762479
50280,40.5865396,-122.3916754
