Provider Id,Latitude,Longitude
30083,33.639202,-111.99813
30084,36.1011886597,-109.585174561
30085,32.3200111389,-111.009788513
30087,33.5810241699,-111.885276794
30088,33.4112815857,-111.689155579
30089,33.6095314026,-112.18132019
30092,33.6659011841,-112.115951538
30093,33.6597824097,-112.373001099
30094,33.6552810669,-112.201751709
30101,35.1109237671,-114.555236816
30103,33.66323255,-111.955551803
30105,33.4104732424,-111.686361954
30107,33.3800582886,-111.734695435
30108,33.5321998596,-112.098968506
30110,33.4620780945,-112.352935791
30111,32.1778251976,-110.93080245
30112,33.3339271545,-111.891189575
30113,33.8768806458,-109.961158752
30114,32.4292602539,-110.949661255
30115,33.478176,-112.257438
30117,35.0026550293,-114.595878601
30118,34.5902137756,-112.330474854
30119,33.342918396,-111.755760193
30120,33.3142356873,-111.688720703
30121,33.3912849426,-111.611251831
30122,33.3842238039,-111.719690412
30123,33.6704597473,-111.922615051
30126,33.4246822447,-111.822772399
30130,33.2152786255,-111.565307617
30131,33.4562773257,-111.995283365
30132,33.0731867999,-111.486774087
40001,36.189981401,-94.5096644014
40002,35.4643788189,-93.445949927
40004,36.11145,-94.159332
40007,34.7518540174,-92.3373922706
40010,36.3069763184,-94.1813583374
40011,35.0549161434,-93.3884976804
40014,35.2504619211,-91.6945626587
40015,34.5890224725,-94.2224293202
40016,34.7491874695,-92.3532485962
40017,36.2358330935,-93.1072124094
40018,35.4365167506,-94.3381078929
40019,35.0395088643,-90.7718458772
40020,35.8374197781,-90.7027427852
40022,36.1802062988,-94.1370544434
40026,34.4678382874,-93.0666656494
40027,36.3429336548,-92.3974761963
40029,35.0849106163,-92.4591008574
40036,34.8999290466,-92.438873291
40039,36.052551046,-90.4978682846
40041,35.282962,-93.148391
40042,35.1440425962,-90.1878163218
40047,36.2897220254,-90.9978615493
40050,33.5732719302,-92.8354925662
40051,33.6111058295,-91.8150045723
40055,35.3748893738,-94.4180908203
40062,35.3558311462,-94.3527908325
40067,33.2750813663,-93.2399180532
40069,35.94151631,-89.9188732356
40071,34.1891077906,-92.0185896009
40072,34.5176429749,-91.5593185425
40074,34.8735809326,-92.1248397827
40076,34.3600483239,-92.7857597172
40078,34.4860038757,-93.0352096558
40080,35.6085853577,-91.264755249
40084,34.5729217529,-92.5852584839
40085,34.5084797591,-90.6273539364
40088,33.218421042,-92.6724256575
40114,34.7491874695,-92.3532485962
40118,35.808380127,-90.6665802002
40119,35.7695632428,-91.6357666254
40134,34.7389183044,-92.3933486938
40137,34.8129005432,-92.2081375122
40147,34.802433,-92.347694
40152,36.1213264465,-94.1340713501
40153,33.6489424109,-93.5870274156
50002,37.6343803406,-122.090133667
50006,40.783657074,-124.142463684
50007,37.5914993286,-122.383781433
50008,37.768882513,-122.435748428
50009,38.3247184753,-122.296707153
50013,38.5420882702,-122.475336492
50014,38.3507270813,-120.764678955
50016,35.1134605408,-120.590538025
50017,38.5707244873,-121.452583313
50018,34.065048,-118.239135
50022,33.9765090942,-117.381469727
50024,32.6839485168,-117.081634521
50025,32.7549476624,-117.166793823
50026,32.781196,-117.007072
50028,40.8963127136,-124.091445923
50030,39.505531311,-121.541007996
50036,35.391941,-119.006782
50038,37.3134269714,-121.934211731
50039,39.7422065735,-121.850006104
50040,34.32698,-118.451705
50042,40.1481246948,-122.219337463
50043,37.820809409,-122.263079882
50045,32.7804412842,-115.568496704
50046,34.444316864,-119.263908386
50047,37.7906150818,-122.431434631
50054,33.9318389893,-116.945678711
50055,37.7471656799,-122.420883179
50056,34.6878051758,-118.157981873
50057,36.3273963332,-119.296075255
50058,34.1283550858,-118.257753253
50060,36.7440643311,-119.7837677
50063,34.0963096619,-118.29070282
50067,37.7570762634,-120.861091614
50069,33.7823447585,-117.865014821
50070,37.659252,-122.439208
50071,37.3354563117,-121.995820552
50072,37.8917427063,-122.059532166
50073,38.1283642352,-122.247655839
50075,37.8248519897,-122.257156372
50076,37.7823066711,-122.443229675
50077,32.7516516298,-117.16079548
50078,33.7381858826,-118.303741455
50079,37.9533004761,-122.336387634
50082,34.2167434692,-119.156311035
50084,37.9705543518,-121.288215637
50089,34.1316233575,-117.322511226
50090,38.2881011963,-122.465324402
50091,33.9895210266,-118.224258423
50093,36.8370375037,-119.766234979
50096,34.0705680847,-117.945587158
50099,34.100643158,-117.638206482
50100,32.8002452105,-117.155156806
50101,38.1311836243,-122.237319946
50102,33.9268798828,-117.43926239
50103,33.788478,-118.194664
50104,33.9298439026,-118.203109741
50107,34.9509887695,-120.413223267
50108,38.5720176697,-121.46925354
50110,34.6395365149,-120.439131483
50111,34.0755844116,-118.284240723
50112,34.0275000036,-118.486110494
50113,37.5309028625,-122.300209045
50115,33.1258901954,-117.076236159
50116,34.219978,-118.532936
50118,37.801586,-121.197517
50121,36.3233833313,-119.666702271
50122,37.9615440369,-121.301734924
50124,34.2045288086,-118.216125488
50125,37.3627090454,-121.847854614
50126,34.1949462891,-118.463188171
50127,38.6664962769,-121.792633057
50128,33.1837005168,-117.292819172
50129,34.1349487305,-117.276023865
50131,38.099647522,-122.560340881
50132,34.1008071899,-118.105880737
50133,39.1382217407,-121.594360352
50135,34.1080780029,-118.346702576
50136,38.2545433044,-122.631782532
50137,34.2188148499,-118.430023193
50138,34.0987167358,-118.29535675
50139,33.9170707762,-118.129244596
50140,34.0733798593,-117.435621321
50145,36.579277,-121.913711
50149,34.0371505916,-118.265466616
50150,39.2280883789,-121.047203064
50152,37.7896308899,-122.416557312
50153,37.328189,-121.938461
50158,34.1574859619,-118.486732483
50159,34.2761957645,-119.25240688
50167,37.8866386414,-121.283081055
50168,33.8946380615,-117.927207947
50169,33.969795,-118.049362
50174,38.4436912537,-122.701377869
50179,37.5116386414,-120.837997437
50180,37.912902832,-122.040748596
50189,36.206111908,-121.132987976
50191,33.779914856,-118.186019897
50192,36.6078447551,-119.451335594
50194,36.928229928,-121.793501526
50195,37.5580099225,-121.980602369
50197,37.4779090881,-122.254730225
